INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
5.64	-0.01	239	 
5.65	-0.01	243	 
5.66	-0.01	247	 
5.67	-0.01	251	 
5.68	-0.01	255	 
5.69	-0.01	259	 
5.70	-0.01	263	 
5.71	-0.01	267	 
5.72	-0.01	271	 
5.73	-0.01	275	 
5.74	-0.01	279	 
5.75	-0.01	283	 
5.76	-0.01	288	 
5.77	-0.01	292	 
5.78	0.00	301	 
5.79	0.00	306	 
5.80	0.00	310	 
5.81	0.00	315	 
5.82	0.00	319	 
5.83	0.00	324	 
5.84	0.00	329	 
5.85	0.00	334	 
5.86	0.00	339	 
5.87	0.00	344	 
5.88	0.00	348	 
5.89	0.00	354	 
5.90	0.00	359	 
5.91	0.00	364	 
5.92	0.00	369	 
5.93	0.00	374	 
5.94	0.00	379	 
5.95	0.00	385	 
5.96	0.00	390	 
5.97	0.00	396	 
5.98	0.00	401	 
5.99	0.00	407	 
6.00	0.00	412	 
6.01	0.00	418	 
6.02	0.00	424	 
6.03	0.00	430	 
6.04	0.00	435	 
6.05	0.00	441	 
6.06	0.00	447	 
6.07	0.00	453	 
6.08	0.00	459	 
6.09	0.00	466	 
6.10	0.00	472	 
6.11	0.00	478	 
6.12	0.00	484	 
6.13	0.00	491	 
6.14	0.00	497	 
6.15	0.00	504	 
6.16	0.00	510	 
6.17	0.00	517	 
6.18	0.00	524	 
6.19	0.00	530	 
6.20	0.00	537	 
6.21	0.00	544	 
6.22	0.00	551	 
6.23	0.00	558	 
6.24	0.00	565	 
6.25	0.00	572	 
6.26	0.00	579	 
6.27	0.00	587	 
6.28	0.00	594	 
6.29	0.00	602	 
6.30	0.00	609	*
6.31	0.00	616	 
6.32	0.00	623	 
6.33	0.00	630	 
6.34	0.00	637	 
6.35	0.00	644	 
6.36	0.00	652	 
6.37	0.00	659	 
6.38	0.00	666	 
6.39	0.00	674	 
6.40	0.00	681	*
6.41	0.00	688	 
6.42	0.00	695	 
6.43	0.00	702	 
6.44	0.00	710	 
6.45	0.00	717	 
6.46	0.00	724	 
6.47	0.00	732	 
6.48	0.00	739	 
6.49	0.00	746	 
6.50	0.00	754	*
6.51	0.00	761	 
6.52	0.00	768	 
6.53	0.00	776	 
6.54	0.00	783	 
6.55	0.00	790	 
6.56	0.00	798	 
